time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-12-21 18:00:00+00:00,42.56,42.36,42.55,315.29,13397.53,42.49,multiply,BTC
2022-12-21 19:00:00+00:00,42.53,42.14,42.48,132.64,5615.36,42.25,direct,
2022-12-21 20:00:00+00:00,42.33,42.14,42.25,130.39,5512.19,42.16,direct,
2022-12-21 21:00:00+00:00,42.28,42.09,42.16,174.5,7366.27,42.28,direct,
2022-12-21 22:00:00+00:00,42.28,42.09,42.28,182.87,7707.59,42.14,direct,
2022-12-21 23:00:00+00:00,42.61,42.14,42.14,213.37,9043.27,42.61,direct,
2022-12-22 00:00:00+00:00,42.68,42.36,42.61,284.46,12098.73,42.68,direct,
2022-12-22 01:00:00+00:00,42.8,42.51,42.68,114.15,4871.65,42.51,direct,
2022-12-22 02:00:00+00:00,42.54,42.43,42.51,79.23,3363.67,42.46,direct,
2022-12-22 03:00:00+00:00,42.48,42.32,42.46,122.17,5177.01,42.41,direct,
2022-12-22 04:00:00+00:00,42.42,42.23,42.41,274.62,11598.36,42.27,direct,
2022-12-22 05:00:00+00:00,42.47,42.16,42.27,265.1,11205.97,42.45,direct,
2022-12-22 06:00:00+00:00,42.47,42.3,42.45,120.72,5116.74,42.35,direct,
2022-12-22 07:00:00+00:00,42.51,42.29,42.29,353.55,15028.83,42.51,multiply,BTC
2022-12-22 08:00:00+00:00,43.29,42.5,42.5,1428.22,61411.98,43.18,direct,
2022-12-22 09:00:00+00:00,43.35,42.9,43.18,639.22,27541.95,43.04,direct,
2022-12-22 10:00:00+00:00,43.13,42.94,43.04,301.54,12966.33,43.02,direct,
2022-12-22 11:00:00+00:00,43.08,42.68,43.02,1139.23,48712.85,42.76,multiply,BTC
2022-12-22 12:00:00+00:00,42.95,42.75,42.76,206.03,8834.09,42.89,direct,
2022-12-22 13:00:00+00:00,42.94,42.66,42.89,150.09,6427.08,42.69,direct,
2022-12-22 14:00:00+00:00,42.69,41.98,42.69,397.32,16781.49,42.05,direct,
2022-12-22 15:00:00+00:00,42.05,41.79,42.05,496.87,20810.82,41.89,direct,
2022-12-22 16:00:00+00:00,41.98,41.79,41.89,1703.54,71287.74,41.93,direct,
2022-12-22 17:00:00+00:00,41.78,41.43,41.95,4805.81,199438.56,41.5,multiply,BTC
2022-12-22 18:00:00+00:00,41.56,41.42,41.48,353.74,14683.21,41.52,direct,
2022-12-22 19:00:00+00:00,41.84,41.5,41.52,1099.11,45665.21,41.83,direct,
2022-12-22 20:00:00+00:00,42.4,41.78,41.83,821.14,34612.74,42.26,direct,
2022-12-22 21:00:00+00:00,42.42,42.25,42.26,312.56,13227.92,42.31,direct,
2022-12-22 22:00:00+00:00,42.67,42.31,42.31,1180.42,50296.07,42.49,direct,
2022-12-22 23:00:00+00:00,42.8,42.49,42.49,294.29,12573.25,42.77,direct,
2022-12-23 00:00:00+00:00,42.95,42.61,42.77,1223.84,52227.13,42.68,direct,
2022-12-23 01:00:00+00:00,42.99,42.66,42.68,486.78,20791.95,42.99,direct,
2022-12-23 02:00:00+00:00,43.25,42.79,42.99,670.47,28862.26,43.22,direct,
2022-12-23 03:00:00+00:00,43.41,43.07,43.22,285.45,12340.46,43.07,direct,
2022-12-23 04:00:00+00:00,43.12,42.94,43.07,265.84,11424.52,42.99,direct,
2022-12-23 05:00:00+00:00,43.03,42.83,42.99,89.67,3846.82,42.88,direct,
2022-12-23 06:00:00+00:00,42.88,42.66,42.88,117.72,5029.77,42.81,direct,
2022-12-23 07:00:00+00:00,42.88,42.64,42.74,356.89,15261.43,42.76,multiply,BTC
2022-12-23 08:00:00+00:00,42.76,42.55,42.72,478.4,20419.8,42.69,direct,
2022-12-23 09:00:00+00:00,42.85,42.62,42.69,137.64,5878.07,42.7,direct,
2022-12-23 10:00:00+00:00,43.09,42.67,42.7,382.82,16416.04,42.96,direct,
2022-12-23 11:00:00+00:00,42.94,42.75,42.97,286.91,12318.54,42.94,multiply,BTC
2022-12-23 12:00:00+00:00,43.19,42.97,42.94,569.46,24537.04,43.09,multiply,BTC
2022-12-23 13:00:00+00:00,43.11,42.68,43.09,735.12,31537.11,42.92,direct,
2022-12-23 14:00:00+00:00,42.92,42.59,42.92,215.03,9182.57,42.67,direct,
2022-12-23 15:00:00+00:00,42.97,42.67,42.67,981.6,42089.46,42.88,direct,
2022-12-23 16:00:00+00:00,43.1,42.88,42.88,391.09,16805.55,43.0,direct,
2022-12-23 17:00:00+00:00,43.18,43.0,43.0,129.2,5566.38,43.12,direct,
2022-12-23 18:00:00+00:00,43.23,43.09,43.12,105.63,4563.78,43.1,direct,
2022-12-23 19:00:00+00:00,43.2,43.03,43.1,190.16,8204.66,43.11,direct,
2022-12-23 20:00:00+00:00,43.27,43.06,43.11,197.25,8515.29,43.06,direct,
2022-12-23 21:00:00+00:00,43.15,43.04,43.06,175.69,7573.61,43.1,direct,
2022-12-23 22:00:00+00:00,43.19,43.03,43.1,94.89,4092.22,43.17,direct,
2022-12-23 23:00:00+00:00,43.41,43.17,43.17,155.24,6725.0,43.28,direct,
2022-12-24 00:00:00+00:00,43.41,43.21,43.28,118.08,5117.81,43.27,direct,
2022-12-24 01:00:00+00:00,43.37,43.22,43.27,75.86,3282.44,43.29,direct,
2022-12-24 02:00:00+00:00,43.26,43.03,43.2,268.6,11608.83,43.22,multiply,ETH
2022-12-24 03:00:00+00:00,43.64,43.26,43.27,353.04,15354.7,43.5,direct,
2022-12-24 04:00:00+00:00,43.73,43.44,43.5,363.35,15828.7,43.68,direct,
2022-12-24 05:00:00+00:00,44.12,43.68,43.68,1303.37,57228.57,44.06,direct,
2022-12-24 06:00:00+00:00,44.17,43.89,44.06,704.58,31034.9,43.91,direct,
2022-12-24 07:00:00+00:00,44.02,43.8,43.91,445.99,19588.72,43.99,direct,
2022-12-24 08:00:00+00:00,43.99,43.68,43.99,668.58,29301.84,43.92,direct,
2022-12-24 09:00:00+00:00,44.07,43.86,43.92,376.12,16525.18,44.01,direct,
2022-12-24 10:00:00+00:00,44.25,43.96,44.01,416.38,18370.22,43.98,direct,
2022-12-24 11:00:00+00:00,44.17,43.98,43.98,116.88,5155.81,44.1,direct,
2022-12-24 12:00:00+00:00,44.2,44.03,44.1,333.78,14728.49,44.04,direct,
2022-12-24 13:00:00+00:00,44.06,43.91,44.04,147.01,6464.84,44.01,direct,
2022-12-24 14:00:00+00:00,44.02,43.81,44.01,408.28,17922.1,44.01,direct,
2022-12-24 15:00:00+00:00,44.01,43.8,44.01,421.05,18474.56,43.84,direct,
2022-12-24 16:00:00+00:00,44.03,43.79,43.84,287.6,12627.83,44.03,direct,
2022-12-24 17:00:00+00:00,44.1,44.0,44.03,248.2,10935.34,44.04,direct,
2022-12-24 18:00:00+00:00,44.09,43.99,44.04,224.28,9875.75,44.03,direct,
2022-12-24 19:00:00+00:00,44.13,44.01,44.03,357.85,15761.3,44.04,direct,
2022-12-24 20:00:00+00:00,44.06,43.94,44.04,89.36,3927.51,43.99,direct,
2022-12-24 21:00:00+00:00,43.99,43.83,43.99,59.24,2602.76,43.84,direct,
2022-12-24 22:00:00+00:00,43.84,43.7,43.84,110.71,4844.05,43.78,direct,
2022-12-24 23:00:00+00:00,43.89,43.73,43.78,78.11,3419.57,43.81,direct,
2022-12-25 00:00:00+00:00,44.16,43.78,43.81,509.7,22465.95,44.08,direct,
2022-12-25 01:00:00+00:00,44.26,44.08,44.08,339.09,14979.93,44.09,direct,
2022-12-25 02:00:00+00:00,44.16,43.95,44.09,81.78,3602.39,43.97,direct,
2022-12-25 03:00:00+00:00,44.02,43.82,43.99,51.03,2236.78,43.83,multiply,BTC
2022-12-25 04:00:00+00:00,43.98,43.82,43.85,52.41,2302.0,43.9,direct,
2022-12-25 05:00:00+00:00,44.06,43.86,43.9,77.03,3386.37,43.99,direct,
2022-12-25 06:00:00+00:00,44.08,43.83,43.99,782.48,34435.67,44.04,direct,
2022-12-25 07:00:00+00:00,44.19,44.03,44.04,220.88,9752.09,44.05,direct,
2022-12-25 08:00:00+00:00,44.06,43.81,44.05,481.26,21163.03,44.03,direct,
2022-12-25 09:00:00+00:00,44.09,44.01,44.03,45.25,1992.73,44.08,direct,
2022-12-25 10:00:00+00:00,44.07,43.9,44.09,293.31,12909.92,44.01,multiply,BTC
2022-12-25 11:00:00+00:00,44.01,43.81,44.01,113.23,4967.03,43.96,direct,
2022-12-25 12:00:00+00:00,44.02,43.92,43.96,118.51,5208.84,44.02,direct,
2022-12-25 13:00:00+00:00,44.04,43.9,44.02,92.17,4054.12,43.9,direct,
2022-12-25 14:00:00+00:00,44.27,43.66,43.9,3451.02,151430.65,43.95,direct,
2022-12-25 15:00:00+00:00,44.75,43.95,43.95,2690.83,119383.72,44.3,direct,
2022-12-25 16:00:00+00:00,44.32,44.06,44.3,1267.02,56047.64,44.3,direct,
2022-12-25 17:00:00+00:00,44.31,44.02,44.3,707.32,31250.67,44.13,direct,
2022-12-25 18:00:00+00:00,44.14,43.91,44.13,727.48,32063.87,43.94,direct,
2022-12-25 19:00:00+00:00,44.17,43.71,43.94,419.3,18398.14,44.17,direct,
2022-12-25 20:00:00+00:00,44.18,43.81,44.17,173.11,7616.99,43.81,direct,
2022-12-25 21:00:00+00:00,44.24,43.81,43.81,1344.03,59183.03,44.11,direct,
2022-12-25 22:00:00+00:00,44.41,44.11,44.11,316.44,14007.29,44.3,direct,
2022-12-25 23:00:00+00:00,44.6,44.15,44.3,846.46,37515.67,44.5,direct,
2022-12-26 00:00:00+00:00,44.51,44.23,44.5,417.33,18531.85,44.38,direct,
2022-12-26 01:00:00+00:00,44.84,44.38,44.38,385.13,17214.81,44.81,direct,
2022-12-26 02:00:00+00:00,45.41,44.81,44.81,754.15,34078.48,45.19,direct,
2022-12-26 03:00:00+00:00,45.28,44.97,45.19,160.35,7225.13,45.03,direct,
2022-12-26 04:00:00+00:00,44.95,44.84,44.98,249.26,11200.82,44.94,multiply,BTC
2022-12-26 05:00:00+00:00,45.71,44.95,44.95,941.84,42721.46,45.22,direct,
2022-12-26 06:00:00+00:00,45.36,45.09,45.22,360.69,16309.53,45.11,direct,
2022-12-26 07:00:00+00:00,45.19,44.87,45.06,480.76,21571.2,44.87,multiply,BTC
2022-12-26 08:00:00+00:00,44.92,44.74,44.92,143.78,6440.81,44.8,direct,
2022-12-26 09:00:00+00:00,45.16,44.78,44.8,290.0,13014.53,45.08,direct,
2022-12-26 10:00:00+00:00,45.51,45.04,45.08,1467.5,66614.88,45.33,direct,
2022-12-26 11:00:00+00:00,45.49,45.27,45.37,1003.67,45487.51,45.32,multiply,BTC
2022-12-26 12:00:00+00:00,45.55,45.28,45.32,1215.15,55160.05,45.39,multiply,BTC
2022-12-26 13:00:00+00:00,45.36,45.04,45.39,224.5,10138.64,45.16,multiply,BTC
2022-12-26 14:00:00+00:00,45.15,44.95,45.15,256.92,11565.4,44.96,direct,
2022-12-26 15:00:00+00:00,45.04,44.81,44.96,399.69,17943.71,44.97,direct,
2022-12-26 16:00:00+00:00,45.14,44.85,44.97,179.13,8074.53,45.08,direct,
2022-12-26 17:00:00+00:00,45.08,44.81,45.08,690.64,30966.04,44.81,direct,
2022-12-26 18:00:00+00:00,44.88,44.52,44.81,523.13,23372.27,44.52,direct,
2022-12-26 19:00:00+00:00,44.66,44.39,44.52,380.78,16941.32,44.56,direct,
2022-12-26 20:00:00+00:00,44.78,44.48,44.56,212.96,9503.58,44.77,direct,
2022-12-26 21:00:00+00:00,44.82,44.69,44.77,133.05,5951.36,44.71,direct,
2022-12-26 22:00:00+00:00,44.85,44.65,44.71,70.39,3146.91,44.7,direct,
2022-12-26 23:00:00+00:00,44.95,44.59,44.7,194.72,8712.29,44.95,direct,
2022-12-27 00:00:00+00:00,45.16,44.57,44.95,819.83,36818.42,45.16,direct,
2022-12-27 01:00:00+00:00,45.19,44.87,45.16,254.0,11439.04,45.18,direct,
2022-12-27 02:00:00+00:00,45.48,45.11,45.18,303.41,13746.83,45.41,direct,
2022-12-27 03:00:00+00:00,45.42,45.23,45.39,180.5,8170.09,45.26,multiply,BTC
2022-12-27 04:00:00+00:00,45.33,45.01,45.27,128.79,5805.74,45.02,direct,
2022-12-27 05:00:00+00:00,45.09,44.9,45.02,336.69,15173.91,44.95,direct,
2022-12-27 06:00:00+00:00,45.13,44.94,44.91,431.93,19456.32,45.05,multiply,BTC
2022-12-27 07:00:00+00:00,45.11,44.79,45.11,171.79,7705.56,44.87,direct,
2022-12-27 08:00:00+00:00,44.97,44.74,44.87,208.8,9374.23,44.87,direct,
2022-12-27 09:00:00+00:00,44.89,44.57,44.82,686.95,30765.02,44.78,multiply,BTC
2022-12-27 10:00:00+00:00,44.87,44.58,44.74,165.37,7390.75,44.68,direct,
2022-12-27 11:00:00+00:00,44.69,44.53,44.68,148.01,6601.61,44.65,direct,
2022-12-27 12:00:00+00:00,44.71,44.54,44.65,314.07,14010.6,44.61,multiply,BTC
2022-12-27 13:00:00+00:00,44.94,44.59,44.64,183.55,8223.95,44.7,direct,
2022-12-27 14:00:00+00:00,44.93,43.88,44.7,1025.5,45392.49,44.12,direct,
