time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-12-21 18:00:00+00:00,65.85,65.55,65.71,9702.56,637464.98,65.64,direct,
2022-12-21 19:00:00+00:00,65.83,65.46,65.64,9285.57,609392.82,65.59,direct,
2022-12-21 20:00:00+00:00,65.76,65.51,65.59,8013.26,525760.35,65.59,direct,
2022-12-21 21:00:00+00:00,65.76,65.48,65.59,9894.41,649338.36,65.61,direct,
2022-12-21 22:00:00+00:00,65.62,65.35,65.61,4744.74,310601.75,65.37,direct,
2022-12-21 23:00:00+00:00,65.58,65.22,65.37,12184.27,796498.96,65.43,direct,
2022-12-22 00:00:00+00:00,65.55,64.91,65.43,16252.33,1059171.8,65.54,direct,
2022-12-22 01:00:00+00:00,65.59,65.3,65.54,6898.55,451235.65,65.34,direct,
2022-12-22 02:00:00+00:00,65.48,65.24,65.34,5473.28,357839.04,65.43,direct,
2022-12-22 03:00:00+00:00,65.54,65.28,65.43,5029.49,328977.91,65.49,direct,
2022-12-22 04:00:00+00:00,65.72,65.41,65.49,6068.5,397966.02,65.58,direct,
2022-12-22 05:00:00+00:00,66.05,65.49,65.58,9886.43,650180.49,65.99,direct,
2022-12-22 06:00:00+00:00,66.13,65.73,65.99,9433.19,622153.99,65.92,direct,
2022-12-22 07:00:00+00:00,66.38,65.75,65.92,9425.23,623089.51,66.26,direct,
2022-12-22 08:00:00+00:00,66.66,66.19,66.26,11484.79,762613.99,66.36,direct,
2022-12-22 09:00:00+00:00,66.39,66.02,66.36,6629.36,438859.74,66.14,direct,
2022-12-22 10:00:00+00:00,66.4,66.04,66.14,5910.43,391435.72,66.18,direct,
2022-12-22 11:00:00+00:00,66.38,66.08,66.18,4266.88,282604.76,66.35,direct,
2022-12-22 12:00:00+00:00,66.53,66.18,66.35,6360.79,422071.03,66.19,direct,
2022-12-22 13:00:00+00:00,66.48,65.88,66.19,10226.23,676992.94,65.93,direct,
2022-12-22 14:00:00+00:00,66.0,64.82,65.93,36133.1,2360958.92,64.96,direct,
2022-12-22 15:00:00+00:00,65.09,64.56,64.96,18765.95,1216493.39,64.64,direct,
2022-12-22 16:00:00+00:00,64.95,64.41,64.64,13103.62,847141.1,64.83,direct,
2022-12-22 17:00:00+00:00,64.97,64.28,64.83,12928.76,834564.93,64.43,direct,
2022-12-22 18:00:00+00:00,64.73,64.35,64.43,9789.08,631883.3,64.67,direct,
2022-12-22 19:00:00+00:00,65.31,64.63,64.67,13159.01,854171.31,65.27,direct,
2022-12-22 20:00:00+00:00,66.15,65.12,65.27,23135.86,1521292.53,65.73,direct,
2022-12-22 21:00:00+00:00,65.8,65.52,65.73,6530.5,428489.3,65.55,direct,
2022-12-22 22:00:00+00:00,65.91,65.55,65.55,6806.44,447625.25,65.91,direct,
2022-12-22 23:00:00+00:00,66.2,65.84,65.91,12467.9,823794.12,66.19,direct,
2022-12-23 00:00:00+00:00,66.62,66.02,66.19,16396.85,1086702.14,66.07,direct,
2022-12-23 01:00:00+00:00,66.27,65.95,66.07,7692.42,508302.56,66.24,direct,
2022-12-23 02:00:00+00:00,66.48,66.07,66.24,8574.84,568292.59,66.35,direct,
2022-12-23 03:00:00+00:00,66.68,66.21,66.35,9557.86,634962.35,66.21,direct,
2022-12-23 04:00:00+00:00,66.26,66.0,66.21,8741.18,578111.75,66.25,direct,
2022-12-23 05:00:00+00:00,66.36,66.0,66.25,6312.33,417825.36,66.1,direct,
2022-12-23 06:00:00+00:00,66.1,65.8,66.1,7170.99,472628.46,65.84,direct,
2022-12-23 07:00:00+00:00,66.09,65.76,65.84,8203.51,541072.67,66.01,direct,
2022-12-23 08:00:00+00:00,66.09,65.65,66.01,8478.03,557851.64,65.72,direct,
2022-12-23 09:00:00+00:00,65.87,65.63,65.72,9059.47,595673.07,65.75,direct,
2022-12-23 10:00:00+00:00,66.04,65.75,65.75,6737.31,443961.11,65.93,direct,
2022-12-23 11:00:00+00:00,66.04,65.74,65.93,6177.77,407032.85,65.96,direct,
2022-12-23 12:00:00+00:00,66.08,65.92,65.96,5264.03,347450.37,65.98,direct,
2022-12-23 13:00:00+00:00,66.17,65.05,65.98,24167.74,1586416.98,65.64,direct,
2022-12-23 14:00:00+00:00,65.72,65.26,65.64,14785.24,967331.23,65.33,direct,
2022-12-23 15:00:00+00:00,65.83,65.26,65.33,6890.87,451844.54,65.63,direct,
2022-12-23 16:00:00+00:00,65.63,65.39,65.63,6387.77,418316.73,65.48,direct,
