time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-12-21 18:00:00+00:00,0.1276,0.1224,0.1278,166.56,20.44,0.1227,multiply,BTC
2022-12-21 19:00:00+00:00,0.1272,0.1225,0.1227,55.48,7.055,0.1272,multiply,BTC
2022-12-21 20:00:00+00:00,0.1274,0.1218,0.1272,157.77,20.04,0.127,multiply,BTC
2022-12-21 21:00:00+00:00,0.1271,0.1271,0.127,0.0,0.0,0.1271,multiply,BTC
2022-12-21 22:00:00+00:00,0.1271,0.12,0.1271,2433.16,309.21,0.1271,multiply,BTC
2022-12-21 23:00:00+00:00,0.1275,0.1225,0.1271,140.18,17.17,0.1225,multiply,BTC
2022-12-22 00:00:00+00:00,0.1276,0.1218,0.1225,184.51,22.51,0.122,multiply,BTC
2022-12-22 01:00:00+00:00,0.1219,0.1218,0.122,60.91,7.426,0.1219,multiply,BTC
2022-12-22 02:00:00+00:00,0.1329,0.1213,0.1219,18652.55,2473.12,0.1326,multiply,BTC
2022-12-22 03:00:00+00:00,0.1326,0.1326,0.1326,0.0,0.0,0.1326,multiply,BTC
2022-12-22 04:00:00+00:00,0.1349,0.1259,0.1326,728.95,91.8,0.1259,multiply,BTC
2022-12-22 05:00:00+00:00,0.1354,0.1259,0.1259,182.05,24.53,0.1348,multiply,BTC
2022-12-22 06:00:00+00:00,0.1346,0.1346,0.1348,0.0,0.0,0.1346,multiply,BTC
2022-12-22 07:00:00+00:00,0.1355,0.123,0.1346,46.36,6.28,0.1355,multiply,BTC
2022-12-22 08:00:00+00:00,0.1355,0.1236,0.1355,760.0,102.88,0.1354,multiply,BTC
2022-12-22 09:00:00+00:00,0.1354,0.1354,0.1354,0.0,0.0,0.1354,multiply,BTC
2022-12-22 10:00:00+00:00,0.1353,0.1196,0.1354,5834.67,700.92,0.1201,multiply,BTC
2022-12-22 11:00:00+00:00,0.1263,0.1202,0.1201,54.78,6.603,0.1205,multiply,BTC
2022-12-22 12:00:00+00:00,0.1206,0.1204,0.1205,17.06,2.057,0.1206,multiply,BTC
2022-12-22 13:00:00+00:00,0.1242,0.1203,0.1206,6016.42,747.18,0.1242,multiply,BTC
2022-12-22 14:00:00+00:00,0.1234,0.1234,0.1242,0.0,0.0,0.1234,multiply,BTC
2022-12-22 15:00:00+00:00,0.1231,0.1231,0.1234,0.0,0.0,0.1231,multiply,BTC
2022-12-22 16:00:00+00:00,0.1255,0.1233,0.1231,73.11,9.173,0.1255,multiply,BTC
2022-12-22 17:00:00+00:00,0.1249,0.1249,0.1255,0.0,0.0,0.1249,multiply,BTC
2022-12-22 18:00:00+00:00,0.1251,0.1251,0.1249,0.0,0.0,0.1251,multiply,BTC
2022-12-22 19:00:00+00:00,0.1254,0.1201,0.1251,223.6,26.86,0.1201,multiply,BTC
2022-12-22 20:00:00+00:00,0.1257,0.121,0.1201,34.63,4.352,0.1257,multiply,BTC
2022-12-22 21:00:00+00:00,0.1258,0.1258,0.1257,38.88,4.889,0.1258,multiply,BTC
2022-12-22 22:00:00+00:00,0.1258,0.1211,0.1258,68.78,8.33,0.1211,multiply,BTC
2022-12-22 23:00:00+00:00,0.1212,0.1212,0.1211,0.0,0.0,0.1212,multiply,BTC
2022-12-23 00:00:00+00:00,0.126,0.121,0.1212,73.31,9.237,0.126,multiply,BTC
2022-12-23 01:00:00+00:00,0.1261,0.1261,0.126,0.0,0.0,0.1261,multiply,BTC
2022-12-23 02:00:00+00:00,0.1265,0.1265,0.1261,914.64,115.71,0.1265,multiply,BTC
2022-12-23 03:00:00+00:00,0.1269,0.1264,0.1265,1407.36,178.56,0.1269,multiply,BTC
2022-12-23 04:00:00+00:00,0.1275,0.1217,0.1269,3493.05,425.2,0.1217,multiply,BTC
2022-12-23 05:00:00+00:00,0.1218,0.1216,0.1217,235.4,28.67,0.1218,multiply,BTC
2022-12-23 06:00:00+00:00,0.1219,0.1214,0.1218,39.48,4.793,0.1214,multiply,BTC
2022-12-23 07:00:00+00:00,0.1215,0.1215,0.1214,50.07,6.082,0.1215,multiply,BTC
2022-12-23 08:00:00+00:00,0.1268,0.1214,0.1215,69.06,8.754,0.1268,multiply,BTC
2022-12-23 09:00:00+00:00,0.1303,0.1263,0.1268,5193.84,676.93,0.1303,multiply,BTC
2022-12-23 10:00:00+00:00,0.1306,0.1298,0.1303,348.67,45.55,0.1306,multiply,BTC
2022-12-23 11:00:00+00:00,0.1339,0.128,0.1306,1318.58,172.57,0.1309,multiply,BTC
2022-12-23 12:00:00+00:00,0.1311,0.1311,0.1309,0.0,0.0,0.1311,multiply,BTC
2022-12-23 13:00:00+00:00,0.1309,0.1309,0.1311,0.0,0.0,0.1309,multiply,BTC
2022-12-23 14:00:00+00:00,0.1305,0.1305,0.1309,0.0,0.0,0.1305,multiply,BTC
2022-12-23 15:00:00+00:00,0.1308,0.1308,0.1305,0.0,0.0,0.1308,multiply,BTC
2022-12-23 16:00:00+00:00,0.1307,0.1307,0.1308,0.0,0.0,0.1307,multiply,BTC
2022-12-23 17:00:00+00:00,0.1309,0.1309,0.1307,0.0,0.0,0.1309,multiply,BTC
2022-12-23 18:00:00+00:00,0.1308,0.1308,0.1309,0.0,0.0,0.1308,multiply,BTC
2022-12-23 19:00:00+00:00,0.1309,0.1309,0.1308,0.0,0.0,0.1309,multiply,BTC
2022-12-23 20:00:00+00:00,0.1306,0.1306,0.1309,0.0,0.0,0.1306,multiply,BTC
2022-12-23 21:00:00+00:00,0.1306,0.1279,0.1306,329.83,42.19,0.1279,multiply,BTC
2022-12-23 22:00:00+00:00,0.1278,0.1278,0.1279,0.0,0.0,0.1278,multiply,BTC
2022-12-23 23:00:00+00:00,0.1277,0.1265,0.1278,620.7,78.54,0.1265,multiply,BTC
2022-12-24 00:00:00+00:00,0.1336,0.1267,0.1265,1043.24,139.04,0.1333,multiply,BTC
2022-12-24 01:00:00+00:00,0.1333,0.1275,0.1333,897.29,114.67,0.1278,multiply,BTC
2022-12-24 02:00:00+00:00,0.1279,0.1279,0.1278,0.0,0.0,0.1279,multiply,BTC
2022-12-24 03:00:00+00:00,0.128,0.128,0.1279,0.0,0.0,0.128,multiply,BTC
2022-12-24 04:00:00+00:00,0.1279,0.123,0.128,480.09,59.07,0.123,multiply,BTC
2022-12-24 05:00:00+00:00,0.123,0.1218,0.123,304.41,37.08,0.1218,multiply,BTC
2022-12-24 06:00:00+00:00,0.1229,0.1218,0.1218,0.1,0.01229,0.1229,multiply,BTC
2022-12-24 07:00:00+00:00,0.1301,0.1232,0.1229,24.84,3.135,0.1262,multiply,BTC
2022-12-24 08:00:00+00:00,0.1261,0.1261,0.1262,0.0,0.0,0.1261,multiply,BTC
2022-12-24 09:00:00+00:00,0.1261,0.1261,0.1261,0.0,0.0,0.1261,multiply,BTC
2022-12-24 10:00:00+00:00,0.126,0.1228,0.1261,18.36,2.255,0.1228,multiply,BTC
2022-12-24 11:00:00+00:00,0.1228,0.1228,0.1228,56.1,6.89,0.1228,multiply,BTC
2022-12-24 12:00:00+00:00,0.1319,0.1228,0.1228,70.22,9.261,0.1319,multiply,BTC
2022-12-24 13:00:00+00:00,0.1329,0.1318,0.1319,121.75,16.13,0.1325,multiply,BTC
2022-12-24 14:00:00+00:00,0.1326,0.1325,0.1325,0.1,0.01325,0.1325,multiply,BTC
2022-12-24 15:00:00+00:00,0.1325,0.1325,0.1325,0.0,0.0,0.1325,multiply,BTC
2022-12-24 16:00:00+00:00,0.1325,0.1318,0.1325,70.41,9.283,0.1318,multiply,BTC
2022-12-24 17:00:00+00:00,0.1319,0.1317,0.1318,0.2,0.02634,0.1317,multiply,BTC
2022-12-24 18:00:00+00:00,0.1317,0.1317,0.1317,0.0,0.0,0.1317,multiply,BTC
2022-12-24 19:00:00+00:00,0.1317,0.1317,0.1317,0.0,0.0,0.1317,multiply,BTC
2022-12-24 20:00:00+00:00,0.1317,0.1317,0.1317,0.0,0.0,0.1317,multiply,BTC
2022-12-24 21:00:00+00:00,0.1316,0.1316,0.1317,0.0,0.0,0.1316,multiply,BTC
2022-12-24 22:00:00+00:00,0.1316,0.1316,0.1316,0.0,0.0,0.1316,multiply,BTC
