time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-12-21 18:00:00+00:00,150.53,148.08,150.68,3237.35,481391.92,148.7,multiply,BTC
2022-12-21 19:00:00+00:00,148.26,147.6,148.06,2245.08,332687.32,147.67,direct,
2022-12-21 20:00:00+00:00,147.76,146.74,147.67,1454.52,214361.98,146.74,direct,
2022-12-21 21:00:00+00:00,147.11,146.56,146.74,1037.38,152315.01,147.0,direct,
2022-12-21 22:00:00+00:00,147.32,146.8,147.0,801.43,117745.42,147.04,direct,
2022-12-21 23:00:00+00:00,147.08,146.55,147.04,903.52,132553.49,146.71,direct,
2022-12-22 00:00:00+00:00,147.28,146.28,146.71,944.69,138551.48,147.28,direct,
2022-12-22 01:00:00+00:00,147.45,146.74,147.28,1533.09,225266.77,146.96,direct,
2022-12-22 02:00:00+00:00,147.21,146.87,146.96,1409.91,207242.84,147.06,direct,
2022-12-22 03:00:00+00:00,147.06,146.6,147.06,895.79,131425.93,146.6,direct,
2022-12-22 04:00:00+00:00,146.83,145.9,146.6,903.49,132059.75,145.98,direct,
2022-12-22 05:00:00+00:00,146.92,145.83,145.98,1266.9,185291.12,146.68,direct,
2022-12-22 06:00:00+00:00,147.28,146.09,146.68,1506.43,220850.05,147.28,direct,
2022-12-22 07:00:00+00:00,147.48,146.66,147.28,1806.72,265657.71,147.18,direct,
2022-12-22 08:00:00+00:00,147.42,146.45,147.18,1515.14,222602.22,146.53,direct,
2022-12-22 09:00:00+00:00,147.19,146.29,146.53,2116.5,310696.56,146.77,direct,
2022-12-22 10:00:00+00:00,147.28,146.55,146.77,1602.71,235506.44,147.28,direct,
2022-12-22 11:00:00+00:00,147.52,146.79,147.28,2303.96,339011.68,147.03,direct,
2022-12-22 12:00:00+00:00,147.12,146.05,147.03,1723.62,252432.49,146.37,direct,
2022-12-22 13:00:00+00:00,146.47,145.79,146.37,1823.9,266440.83,145.79,direct,
2022-12-22 14:00:00+00:00,146.97,144.84,145.79,2005.42,292041.3,145.26,direct,
2022-12-22 15:00:00+00:00,145.35,144.44,145.26,1289.78,186685.6,145.08,direct,
2022-12-22 16:00:00+00:00,145.76,144.83,145.08,2018.1,293277.76,145.31,direct,
2022-12-22 17:00:00+00:00,145.46,143.32,145.31,2383.42,344291.42,143.66,direct,
2022-12-22 18:00:00+00:00,143.96,143.03,143.66,2031.23,291362.74,143.45,direct,
2022-12-22 19:00:00+00:00,145.42,143.74,143.19,3212.9,465290.43,144.82,multiply,ETH
2022-12-22 20:00:00+00:00,147.77,144.67,144.86,2017.83,294063.3,146.17,direct,
2022-12-22 21:00:00+00:00,146.35,145.59,146.17,2138.23,312138.89,145.76,direct,
2022-12-22 22:00:00+00:00,146.43,145.11,145.76,1970.83,287401.61,145.43,direct,
2022-12-22 23:00:00+00:00,145.52,144.8,145.43,1867.9,271084.18,145.05,direct,
2022-12-23 00:00:00+00:00,145.14,144.18,145.05,1830.67,264646.76,144.47,direct,
2022-12-23 01:00:00+00:00,145.62,144.29,144.47,1325.43,192205.86,145.61,direct,
2022-12-23 02:00:00+00:00,146.22,144.89,145.61,1954.74,284391.61,146.04,direct,
2022-12-23 03:00:00+00:00,146.25,145.19,146.04,1614.94,235238.02,145.57,direct,
2022-12-23 04:00:00+00:00,145.65,144.89,145.57,1888.03,274264.77,145.25,direct,
2022-12-23 05:00:00+00:00,145.26,144.48,145.25,2452.22,355494.4,144.66,direct,
2022-12-23 06:00:00+00:00,144.76,143.64,144.66,3240.12,467863.08,143.89,direct,
2022-12-23 07:00:00+00:00,143.98,142.4,143.89,2580.71,370689.29,142.53,direct,
2022-12-23 08:00:00+00:00,143.1,141.91,142.53,1440.55,204822.38,143.1,direct,
2022-12-23 09:00:00+00:00,143.32,141.72,143.1,4519.94,641815.47,141.75,direct,
2022-12-23 10:00:00+00:00,141.77,139.65,141.75,13159.54,1843330.13,140.2,direct,
2022-12-23 11:00:00+00:00,140.28,139.69,140.2,1976.03,276511.71,140.05,direct,
2022-12-23 12:00:00+00:00,141.11,139.92,140.05,1360.36,191057.58,140.66,direct,
2022-12-23 13:00:00+00:00,141.78,140.11,140.66,1925.75,271274.42,141.2,direct,
2022-12-23 14:00:00+00:00,141.87,140.97,141.2,3237.86,458104.78,141.11,direct,
2022-12-23 15:00:00+00:00,141.97,140.89,141.11,1681.66,237598.41,141.67,direct,
2022-12-23 16:00:00+00:00,142.29,141.56,141.67,1803.9,255819.31,141.87,direct,
2022-12-23 17:00:00+00:00,142.42,141.87,141.87,1966.65,279210.47,142.32,direct,
2022-12-23 18:00:00+00:00,142.62,141.68,142.32,1982.87,281649.23,142.43,direct,
2022-12-23 19:00:00+00:00,142.85,141.9,142.43,1887.72,268517.88,142.23,direct,
2022-12-23 20:00:00+00:00,142.86,141.95,142.55,4335.33,619256.85,142.84,multiply,BTC
2022-12-23 21:00:00+00:00,143.42,142.27,142.56,2137.97,305225.27,143.27,direct,
2022-12-23 22:00:00+00:00,143.43,142.55,143.27,1772.66,253205.4,142.76,direct,
2022-12-23 23:00:00+00:00,143.14,142.49,142.76,1835.88,261866.72,142.81,direct,
2022-12-24 00:00:00+00:00,142.94,142.0,142.81,1779.25,253048.73,142.08,direct,
2022-12-24 01:00:00+00:00,142.36,141.7,142.08,1729.96,245529.42,141.83,direct,
2022-12-24 02:00:00+00:00,141.97,141.41,141.83,1733.36,245313.11,141.55,direct,
2022-12-24 03:00:00+00:00,142.32,141.55,141.55,1652.19,234336.47,142.17,direct,
2022-12-24 04:00:00+00:00,142.47,141.91,142.17,1831.66,260194.68,141.92,direct,
2022-12-24 05:00:00+00:00,142.08,141.6,141.92,1598.93,226525.02,141.88,direct,
2022-12-24 06:00:00+00:00,142.09,141.38,141.88,1551.27,219661.6,141.72,direct,
2022-12-24 07:00:00+00:00,142.64,141.52,141.72,933.32,132269.8,142.64,direct,
2022-12-24 08:00:00+00:00,142.98,142.16,142.64,1760.07,250674.12,142.16,direct,
2022-12-24 09:00:00+00:00,142.69,142.0,142.16,1247.7,177412.33,142.46,direct,
2022-12-24 10:00:00+00:00,142.46,142.06,142.46,671.69,95499.66,142.12,direct,
