time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-12-21 18:00:00+00:00,0.3425,0.3412,0.3414,3863253.1,1320840.76,0.3425,direct,
2022-12-21 19:00:00+00:00,0.3441,0.3425,0.3425,3907363.09,1341497.71,0.3432,direct,
2022-12-21 20:00:00+00:00,0.3442,0.3425,0.3432,3606860.22,1239185.28,0.3441,direct,
2022-12-21 21:00:00+00:00,0.3461,0.344,0.3441,3572165.39,1233027.75,0.3461,direct,
2022-12-21 22:00:00+00:00,0.3472,0.3457,0.3461,3501260.62,1212436.95,0.3462,direct,
2022-12-21 23:00:00+00:00,0.3466,0.3449,0.3462,5107562.81,1766598.2,0.3451,direct,
2022-12-22 00:00:00+00:00,0.3471,0.3449,0.3451,3768800.45,1303851.77,0.3466,direct,
2022-12-22 01:00:00+00:00,0.3469,0.3417,0.3466,22243727.46,7631934.17,0.3423,direct,
2022-12-22 02:00:00+00:00,0.3439,0.3414,0.3423,13069030.69,4466618.0,0.3436,direct,
2022-12-22 03:00:00+00:00,0.3442,0.3428,0.3436,7698219.04,2643867.73,0.3431,direct,
2022-12-22 04:00:00+00:00,0.3441,0.3425,0.3431,10580926.14,3620721.56,0.3433,direct,
2022-12-22 05:00:00+00:00,0.3449,0.3428,0.3433,6650704.97,2285014.5,0.3429,direct,
2022-12-22 06:00:00+00:00,0.3438,0.3417,0.3429,10582249.74,3624848.46,0.3438,direct,
2022-12-22 07:00:00+00:00,0.3454,0.3432,0.3438,4927795.74,1697650.85,0.3444,direct,
2022-12-22 08:00:00+00:00,0.345,0.3434,0.3444,5524982.56,1901696.58,0.345,direct,
2022-12-22 09:00:00+00:00,0.3472,0.3448,0.345,4671687.83,1617822.82,0.3468,direct,
2022-12-22 10:00:00+00:00,0.3479,0.3465,0.3468,4279196.64,1486253.96,0.3475,direct,
2022-12-22 11:00:00+00:00,0.3476,0.3457,0.3475,6993772.57,2423178.43,0.3463,direct,
2022-12-22 12:00:00+00:00,0.3469,0.3457,0.3463,6042093.42,2092190.42,0.3461,direct,
2022-12-22 13:00:00+00:00,0.3463,0.3446,0.3461,5695088.37,1968801.08,0.3449,direct,
2022-12-22 14:00:00+00:00,0.3454,0.3425,0.3449,7837898.02,2696453.94,0.3427,direct,
2022-12-22 15:00:00+00:00,0.3435,0.3415,0.3427,7810235.66,2676206.41,0.3427,direct,
2022-12-22 16:00:00+00:00,0.3437,0.3421,0.3427,5763202.17,1977443.07,0.3434,direct,
2022-12-22 17:00:00+00:00,0.3439,0.3417,0.3434,6625081.22,2272098.22,0.3417,direct,
2022-12-22 18:00:00+00:00,0.343,0.3417,0.3417,5322195.55,1822668.04,0.343,direct,
2022-12-22 19:00:00+00:00,0.3441,0.3428,0.343,4213961.36,1446753.34,0.3441,direct,
2022-12-22 20:00:00+00:00,0.3485,0.3441,0.3441,4996976.31,1734711.49,0.3481,direct,
2022-12-22 21:00:00+00:00,0.35,0.348,0.3481,4182557.92,1460134.44,0.3496,direct,
2022-12-22 22:00:00+00:00,0.3501,0.3481,0.3496,3191890.82,1114767.66,0.3487,direct,
2022-12-22 23:00:00+00:00,0.3499,0.3483,0.3487,3774413.02,1319133.9,0.3494,direct,
2022-12-23 00:00:00+00:00,0.3494,0.3475,0.3494,3556594.0,1239049.63,0.3475,direct,
2022-12-23 01:00:00+00:00,0.348,0.3472,0.3475,7333921.09,2545677.4,0.3477,direct,
2022-12-23 02:00:00+00:00,0.3486,0.3471,0.3477,8595086.08,2988170.18,0.3482,direct,
2022-12-23 03:00:00+00:00,0.3501,0.3476,0.3482,5736704.12,2002039.35,0.3495,direct,
2022-12-23 04:00:00+00:00,0.3502,0.3484,0.3495,2963473.21,1035534.99,0.3501,direct,
2022-12-23 05:00:00+00:00,0.3511,0.3499,0.3501,2922784.49,1024261.69,0.3505,direct,
2022-12-23 06:00:00+00:00,0.3518,0.3498,0.3505,3465059.29,1215292.99,0.3501,direct,
2022-12-23 07:00:00+00:00,0.3502,0.3486,0.3501,4915356.39,1717263.46,0.3491,direct,
2022-12-23 08:00:00+00:00,0.35,0.3476,0.3491,4445961.15,1550869.63,0.3497,direct,
2022-12-23 09:00:00+00:00,0.3502,0.3482,0.3497,5098372.98,1780928.85,0.35,direct,
2022-12-23 10:00:00+00:00,0.3521,0.35,0.35,3799066.46,1334523.12,0.3521,direct,
2022-12-23 11:00:00+00:00,0.3521,0.3496,0.3521,7912938.43,2771891.59,0.3511,direct,
2022-12-23 12:00:00+00:00,0.3521,0.3509,0.3511,4942270.88,1735855.08,0.3515,direct,
2022-12-23 13:00:00+00:00,0.3536,0.3494,0.3515,6900128.71,2425016.0,0.3521,direct,
2022-12-23 14:00:00+00:00,0.3522,0.3494,0.3521,6584709.02,2307865.88,0.3495,direct,
2022-12-23 15:00:00+00:00,0.3513,0.349,0.3495,5152554.44,1804784.82,0.35,direct,
2022-12-23 16:00:00+00:00,0.3505,0.3496,0.35,4337243.35,1518436.34,0.3501,direct,
2022-12-23 17:00:00+00:00,0.3516,0.3499,0.3501,4186527.69,1468557.7,0.3514,direct,
2022-12-23 18:00:00+00:00,0.3523,0.3509,0.3514,4852986.85,1705877.72,0.3518,direct,
2022-12-23 19:00:00+00:00,0.3529,0.3517,0.3518,3507975.74,1235773.99,0.3528,direct,
2022-12-23 20:00:00+00:00,0.3528,0.3508,0.3528,4566324.09,1606469.81,0.3508,direct,
2022-12-23 21:00:00+00:00,0.3549,0.3506,0.3508,4048314.82,1427999.8,0.3536,direct,
2022-12-23 22:00:00+00:00,0.3548,0.3533,0.3536,2015614.53,713783.98,0.3539,direct,
2022-12-23 23:00:00+00:00,0.3549,0.3535,0.3539,3478561.85,1231898.8,0.3546,direct,
2022-12-24 00:00:00+00:00,0.3546,0.3525,0.3546,1049696.81,370716.51,0.3525,direct,
2022-12-24 01:00:00+00:00,0.3534,0.3522,0.3525,1338282.71,472126.4,0.3525,direct,
2022-12-24 02:00:00+00:00,0.3532,0.3525,0.3525,1058343.83,373672.9,0.3525,direct,
2022-12-24 03:00:00+00:00,0.3532,0.3525,0.3525,1467027.35,517687.03,0.3528,direct,
2022-12-24 04:00:00+00:00,0.3537,0.3527,0.3528,1535495.81,542145.5,0.3532,direct,
2022-12-24 05:00:00+00:00,0.3533,0.3517,0.3532,1310775.59,461775.47,0.3519,direct,
2022-12-24 06:00:00+00:00,0.3526,0.3513,0.3519,818024.59,287923.65,0.3517,direct,
2022-12-24 07:00:00+00:00,0.3524,0.3515,0.3517,1065478.88,375078.17,0.3516,direct,
2022-12-24 08:00:00+00:00,0.3521,0.3513,0.3516,684822.35,240936.7,0.3519,direct,
2022-12-24 09:00:00+00:00,0.352,0.351,0.3519,395066.13,138784.84,0.3518,direct,
2022-12-24 10:00:00+00:00,0.3518,0.3512,0.3518,491849.16,172845.18,0.3513,direct,
2022-12-24 11:00:00+00:00,0.352,0.3513,0.3513,443684.68,156107.7,0.352,direct,
2022-12-24 12:00:00+00:00,0.3521,0.3514,0.352,532357.67,187343.97,0.3519,direct,
2022-12-24 13:00:00+00:00,0.3525,0.3518,0.3519,714833.06,251942.25,0.3519,direct,
2022-12-24 14:00:00+00:00,0.3521,0.3516,0.3519,550867.77,193815.86,0.3517,direct,
2022-12-24 15:00:00+00:00,0.3521,0.3515,0.3517,458975.66,161525.45,0.3516,direct,
2022-12-24 16:00:00+00:00,0.3522,0.3515,0.3516,487359.29,171516.36,0.3519,direct,
